epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,784.514,1.34127,0.73709,0.91951,0.66352,0.56974,0.59832,0.30588,1.70993,1.51939,1.04719,0.000671044,0.000671044,0.000671044
90,793.278,1.28566,0.73571,0.87324,0.56507,0.59974,0.63479,0.30012,1.84099,1.70765,1.07133,0.000666044,0.000666044,0.000666044
91,802.036,1.23006,0.69187,0.89962,0.54573,0.61513,0.59978,0.31804,1.72252,1.87049,1.06147,0.000661045,0.000661045,0.000661045
92,810.813,1.26047,0.70508,0.89704,0.59678,0.5977,0.56775,0.31482,1.5388,1.79966,1.04583,0.000656045,0.000656045,0.000656045
93,819.576,1.22345,0.70558,0.88847,0.61954,0.61974,0.59934,0.31627,1.56604,1.76873,1.0319,0.000651046,0.000651046,0.000651046
94,828.544,1.2441,0.68921,0.9073,0.9263,0.53694,0.64527,0.32088,1.64977,1.6438,1.05551,0.000646046,0.000646046,0.000646046
95,837.3,1.20056,0.67967,0.87398,0.55647,0.67315,0.64747,0.3295,1.55561,1.59528,1.04625,0.000641047,0.000641047,0.000641047
96,846.06,1.20674,0.6581,0.87339,0.9208,0.4395,0.55791,0.33546,1.62573,1.63242,1.06142,0.000636047,0.000636047,0.000636047
97,854.81,1.23526,0.70854,0.86866,0.55704,0.63466,0.58888,0.34707,1.4884,1.52474,1.02715,0.000631048,0.000631048,0.000631048
98,863.582,1.25448,0.67634,0.90358,0.74719,0.63957,0.67667,0.35445,1.59459,1.57997,1.07648,0.000626048,0.000626048,0.000626048
99,872.359,1.2579,0.68767,0.89266,0.64999,0.65051,0.66613,0.35664,1.64293,1.65391,1.0824,0.000621049,0.000621049,0.000621049
100,881.122,1.18148,0.64482,0.8781,0.57216,0.65419,0.6406,0.34351,1.62599,1.6078,1.06366,0.000616049,0.000616049,0.000616049
101,889.938,1.21712,0.69531,0.87325,0.8063,0.60039,0.6977,0.42161,1.56877,1.4864,1.02697,0.00061105,0.00061105,0.00061105
102,898.818,1.20438,0.66905,0.89083,0.80754,0.60293,0.66785,0.40348,1.42007,1.52411,1.00497,0.00060605,0.00060605,0.00060605
103,907.574,1.15905,0.64011,0.8823,0.7284,0.61972,0.64212,0.38708,1.38581,1.44145,1.00014,0.000601051,0.000601051,0.000601051
104,916.34,1.21958,0.68927,0.90757,0.86494,0.56126,0.63484,0.3713,1.47049,1.49067,1.01158,0.000596051,0.000596051,0.000596051
105,925.107,1.22627,0.66433,0.88685,0.5038,0.6263,0.57205,0.35038,1.5166,1.53044,1.01762,0.000591052,0.000591052,0.000591052
